,tokens,h,t,relation,relation_definition,r_pid,has_relation,relation_prop_wiki,possible_probs
838,"['Saw', 'Lu', 'was', 'born', 'to', 'King', 'Anawrahta', 'and', 'Queen', 'Agga', 'Mahethi', ',', 'Queen', 'of', 'the', 'Southern', 'Palace', '.']","['saw lu', 'Q1395934', [[0, 1]]]","['agga mahethi', 'Q20810387', [[9, 10]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1395934'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q20810387'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1395934'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q20810387'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
839,"['He', 'is', 'married', 'to', 'Anna', 'Kotchneva', 'and', 'is', 'the', 'father', 'and', 'coach', 'of', '2008', 'Olympic', 'champion', 'Nastia', 'Liukin', '.']","['nastia liukin', 'Q230164', [[16, 17]]]","['anna kotchneva', 'Q928626', [[4, 5]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q230164'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q928626'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q230164'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q928626'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
840,"['He', 'is', 'also', 'survived', 'by', 'his', 'brothers', ',', 'Jackie', ',', 'Tito', ',', 'Jermaine', ',', 'Marlon', 'and', 'Randy', ';', 'sisters', 'Rebbie', ',', 'La', 'Toya', 'and', 'Janet', ';', 'and', 'parents', 'Joseph', 'and', 'Katherine', '.']","['rebbie', 'Q234388', [[19]]]","['katherine', 'Q238402', [[30]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q234388'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q238402'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q234388'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q238402'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
841,"['In', '1790', ',', 'Randolph', 'married', 'Martha', 'Washington', 'Jefferson', '(', '1772–1836', ')', ',', 'daughter', 'of', 'Thomas', 'Jefferson', '(', '1743–1826', ')', 'and', 'his', 'wife', 'Martha', 'Wayles', 'Skelton', 'Jefferson', '(', '1748–1782', ')', '.']","['martha washington jefferson', 'Q255159', [[5, 6, 7]]]","['martha wayles skelton jefferson', 'Q238001', [[22, 23, 24, 25]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q255159'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q238001'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q255159'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q238001'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
842,"['In', 'February', '1194', ',', 'Tancred', 'of', 'Lecce', 'died', ',', 'leaving', 'as', 'heir', 'a', 'young', 'boy', ',', 'William', 'III', ',', 'under', 'the', 'tutelage', 'of', 'his', 'mother', 'Sibylla', 'of', 'Acerra', '.']","['william iii', 'Q560005', [[16, 17]]]","['sibylla of acerra', 'Q299458', [[25, 26, 27]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q560005'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q299458'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q560005'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q299458'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
843,"['498', '-', '9', 'His', 'mother', 'Adeliza', 'was', 'the', 'daughter', 'of', 'Ranulf', 'le', 'Meschin', ',', '3rd', 'Earl', 'of', 'Chester', 'and', 'Countess', 'Lucy', 'as', 'well', 'as', 'the', 'sister', 'of', 'Ranulf', 'de', 'Gernon', ',', '4th', 'Earl', 'of', 'Chester', '.']","['ranulf de gernon, 4th earl of chester', 'Q716921', [[27, 28, 29, 30, 31, 32, 33, 34]]]","['countess lucy', 'Q6698603', [[19, 20]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q716921'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6698603'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q716921'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6698603'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
844,"['On', '7', 'November', '1597', ',', 'Manuel', 'we', 'd', 'Countess', 'Emilia', 'of', 'Nassau', '(', '1569–1629', ')', ',', 'a', 'daughter', 'of', 'William', 'I', ',', 'Prince', 'of', 'Orange', 'and', 'Princess', 'Anna', 'of', 'Saxony', '.']","['countess emilia of nassau', 'Q445880', [[8, 9, 10, 11]]]","['anna of saxony', 'Q76488', [[27, 28, 29]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q445880'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q76488'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q445880'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q76488'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
845,"['Accessed', 'June', '27', ',', '2012', 'Diane', 'von', 'Fürstenberg', ',', 'Barry', 'Diller', 'and', 'von', 'Fürstenberg', ""'s"", 'children', ',', 'Alexander', 'and', 'Tatiana', '.']","['alexander', 'Q4720526', [[17]]]","['diane von fürstenberg', 'Q272438', [[5, 6, 7]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4720526'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q272438'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4720526'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q272438'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
846,"['The', 'Portuguese', 'Prince', 'Regent', ',', 'the', 'future', 'King', 'John', 'VI', ',', 'with', 'his', 'incapacitated', 'mother', ',', 'Queen', 'Maria', 'I', 'of', 'Portugal', 'and', 'the', 'Royal', 'Court', ',', 'fled', 'to', 'the', 'colony', 'of', 'Brazil', 'in', '1808', '.']","['john vi', 'Q676301', [[8, 9]]]","['maria i of portugal', 'Q773874', [[17, 18, 19, 20]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q676301'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q773874'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q676301'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q773874'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
847,"['He', 'was', 'a', 'younger', 'son', 'of', 'King', 'Ramiro', 'I', 'of', 'Aragon', 'and', 'Queen', 'Ermesinda', 'and', 'thus', 'a', 'brother', 'of', 'King', 'Sancho', 'Ramírez', '.']","['sancho ramírez', 'Q344802', [[20, 21]]]","['ermesinda', 'Q2102566', [[13]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q344802'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2102566'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q344802'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2102566'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
848,"['He', 'married', 'his', 'cousin', 'Chiefess', 'Alapai', 'Wahine', 'and', 'they', 'had', 'a', 'son', 'Kamanawa', 'II', '(', 'c.', '1785–1840', ')', 'and', 'another', 'son', 'Kapelakapuokakae', '.']","['kamanawa ii', 'Q743219', [[12, 13]]]","['chiefess alapai wahine', 'Q4708321', [[4, 5, 6]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q743219'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4708321'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q743219'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4708321'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
849,"['Randhir', 'is', 'married', 'to', 'former', 'starlet', 'Babita', 'and', 'is', 'the', 'father', 'of', 'actresses', 'Karishma', 'Kapoor', 'and', 'Kareena', 'Kapoor', '.']","['kareena kapoor', 'Q184885', [[16, 17]]]","['babita', 'Q2877914', [[6]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q184885'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2877914'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q184885'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2877914'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
850,"['Guest', 'stars', 'included', 'Strother', 'Martin', ',', 'Timothy', 'Carey', ',', 'and', 'Lupita', 'Tovar', ',', 'mother', 'of', 'actress', 'Susan', 'Kohner', 'and', 'grandmother', 'of', 'writer', '/', 'directors', 'Chris', 'Weitz', 'and', 'Paul', 'Weitz', '.']","['susan kohner', 'Q468476', [[16, 17]]]","['lupita tovar', 'Q464479', [[10, 11]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q468476'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q464479'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q468476'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q464479'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
851,"['Maria', 'of', 'Montferrat', '(', 'or', 'Maria', 'of', 'Jerusalem', ')', '(', '1192–1212', ')', 'was', 'Queen', 'of', 'Jerusalem', ',', 'the', 'daughter', 'of', 'Isabella', 'I', 'of', 'Jerusalem', 'and', 'Conrad', 'of', 'Montferrat', '.']","['maria of montferrat', 'Q234706', [[0, 1, 2]]]","['isabella i of jerusalem', 'Q235629', [[20, 21, 22, 23]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q234706'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q235629'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q234706'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q235629'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
852,"['Edith', 'Luckett', ',', 'a', 'stage', 'actress', 'and', 'the', 'mother', 'of', 'future', 'U.S.', 'First', 'Lady', 'Nancy', 'Reagan', ',', 'was', 'a', 'friend', 'of', 'Nazimova', ',', 'having', 'acted', 'with', 'her', 'onstage', '.']","['nancy reagan', 'Q193426', [[14, 15]]]","['edith luckett', 'Q5338605', [[0, 1]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q193426'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5338605'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q193426'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5338605'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
853,"['Gildo', 'Pallanca', 'Pastor', 'was', 'born', 'in', 'Monaco', ',', 'the', 'son', 'of', 'Claude', 'Pallanca', 'and', 'the', 'heiress', 'and', 'businesswoman', 'Hélène', 'Pastor', '.']","['gildo pallanca pastor', 'Q3105980', [[0, 1, 2]]]","['hélène pastor', 'Q17285136', [[18, 19]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3105980'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q17285136'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3105980'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q17285136'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
854,"['In', '1924', 'he', 'married', 'Cécile', 'Sabouraud', ',', 'a', 'talented', 'pianist', ',', 'and', 'they', 'had', 'two', 'sons', 'Laurent', 'and', 'Mathieu', 'in', '1925', 'and', '1926', ';', 'a', 'third', 'son', ',', 'Thierry', ',', 'was', 'born', 'nine', 'years', 'later', '.']","['laurent', 'Q3219592', [[16]]]","['cécile sabouraud', 'Q5056396', [[4, 5]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3219592'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5056396'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3219592'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5056396'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
855,"['Ningal', 'was', 'the', 'wife', 'of', 'Nanna', ',', 'as', 'well', 'as', 'the', 'mother', 'of', 'Utu', ',', 'Inanna', ',', 'and', 'Ereshkigal', '.']","['inanna', 'Q272523', [[15]]]","['ningal', 'Q898454', [[0]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q272523'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q898454'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q272523'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q898454'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
856,"['Maria', 'Dorothea', 'married', 'Philippe', ',', 'Duke', 'of', 'Orléans', ',', 'eldest', 'son', 'of', 'Philippe', ',', 'Count', 'of', 'Paris', 'and', 'his', 'wife', 'Princess', 'Marie', 'Isabelle', 'of', 'Orléans', ',', 'on', '5', 'November', '1896', 'in', 'Vienna', '.']","['philippe, duke of orléans', 'Q708874', [[3, 4, 5, 6, 7]]]","['princess marie isabelle of orléans', 'Q242879', [[20, 21, 22, 23, 24]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q708874'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q242879'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q708874'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q242879'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
857,"['He', 'married', 'Anna', 'Catherine', ',', 'the', 'daughter', 'of', 'John', 'Louis', ',', 'Count', 'of', 'Nassau', '-', 'Ottweiler', 'and', 'Countess', 'Palatine', 'Dorothea', 'Catherine', 'of', 'Birkenfeld', '-', 'Bischweiler', '.']","['anna catherine', 'Q3817942', [[2, 3]]]","['countess palatine dorothea catherine of birkenfeld-bischweiler', 'Q74862', [[17, 18, 19, 20, 21, 22, 23, 24]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3817942'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q74862'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3817942'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q74862'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
858,"['Christian', 'Devi', 'Brando', '(', 'May', '11', ',', '1958', '–', 'January', '26', ',', '2008', ')', 'was', 'the', 'only', 'child', 'of', 'American', 'actor', 'Marlon', 'Brando', 'and', 'his', 'first', 'wife', ',', 'Anna', 'Kashfi', '.']","['christian devi brando', 'Q1797883', [[0, 1, 2]]]","['anna kashfi', 'Q534436', [[28, 29]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1797883'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q534436'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1797883'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q534436'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
859,"['Ermentrude', ""'s"", 'brother', ',', 'Count', 'Ebles', 'II', 'of', 'Roucy', ',', 'campaigned', 'in', 'Spain', 'in', '1073', ',', 'and', 'their', 'sister', ',', 'Felicia', ',', 'married', 'King', 'Sancho', 'of', 'Aragon', ',', 'father', 'of', 'Alfonso', 'the', 'Battler', '.']","['alfonso the battler', 'Q81833', [[30, 31, 32]]]","['felicia', 'Q2750456', [[20]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q81833'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2750456'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q81833'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2750456'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
860,"['Upon', 'Mumtaz', 'Mahal', ""'s"", 'death', 'her', 'personal', 'fortune', 'was', 'divided', 'by', 'Shah', 'Jahan', 'between', 'Jahanara', 'Begum', '(', 'who', 'received', 'half', ')', 'and', 'the', 'rest', 'of', 'Mumtaz', 'Mahal', ""'s"", 'surviving', 'children', '.', 'Preston', ',', 'page', '175', '.']","['jahanara begum', 'Q467310', [[14, 15]]]","['mumtaz mahal', 'Q231693', [[1, 2], [25, 26]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q467310'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q231693'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q467310'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q231693'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
861,"['Lady', 'Yuhwa', ',', 'Jumong', ""'s"", 'mother', ',', 'died', '.']","['jumong', 'Q378502', [[3]]]","['lady yuhwa', 'Q717467', [[0, 1]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q378502'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q717467'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q378502'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q717467'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
862,"['The', 'primary', 'title', '""', 'Koshikibu', '""', 'refers', 'to', 'Koshikibu', 'no', 'Naishi', ',', 'but', 'the', 'work', 'is', 'actually', 'about', 'three', 'generations', 'in', 'the', 'family', ',', 'including', 'her', 'mother', 'Izumi', 'Shikibu', 'and', 'grandmother', 'Murasaki', 'Shikibu', '.']","['koshikibu no naishi', 'Q1093355', [[8, 9, 10]]]","['izumi shikibu', 'Q239898', [[27, 28]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1093355'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q239898'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1093355'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q239898'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
863,"['Pari', 'Khan', 'Khanum', 'was', 'born', 'as', 'the', 'second', 'daughter', 'of', 'the', 'Safavid', 'shah', 'TahmaspI', 'by', 'his', 'Circassian', 'wife', 'Sultan', '-', 'Agha', 'Khanum', 'in', 'August', '1548', 'at', 'Ahar', '.']","['pari khan khanum', 'Q6394945', [[0, 1, 2]]]","['sultan-agha khanum', 'Q26925292', [[18, 19, 20, 21]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6394945'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q26925292'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6394945'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q26925292'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
864,"['Bolingbroke', 'was', 'to', 'entrust', 'his', 'young', 'son', 'and', 'heir', ',', 'later', 'Henry', 'V', ',', 'to', 'the', 'care', 'of', 'Sir', 'John', 'and', 'his', 'wife', 'Maud', 'following', 'the', 'death', 'of', 'his', 'wife', 'Mary', 'de', 'Bohun', '.']","['henry v', 'Q131581', [[11, 12]]]","['mary de bohun', 'Q236287', [[30, 31, 32]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q131581'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q236287'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q131581'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q236287'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
865,"['The', 'Egyptian', 'prince', 'Amenherkhepshef', 'was', 'the', 'son', 'of', 'Ramesses', 'VI', 'and', 'Queen', 'Nubkhesbed', '.']","['amenherkhepshef', 'Q2843839', [[3]]]","['nubkhesbed', 'Q603097', [[12]]]",mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)",P25,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2843839'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q603097'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2843839'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q603097'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
